guest_directory	file_name	sha256	bytes
GSWGFX	GSWGFX.EXE	f97c0311fe027cfe82e85719820e584220ccaac4c12eaa2918eb6de0a1231f72	47104
GSWGFX	GSWVBE.EXE	c9f62581020913ca967c72e67bb04bbbedca3db5ca4ee70364ebad631b68a81a	61270
